Date,Consumption,Atypical_Day,Religious Holidays
2016-01-01,648689.21,1.0,0.0
2016-01-02,702608.5099999999,1.0,0.0
2016-01-03,685453.0700000001,1.0,0.0
2016-01-04,794904.7100000002,0.0,0.0
2016-01-05,796749.9199999998,0.0,0.0
2016-01-06,783228.2099999998,0.0,0.0
2016-01-07,780834.48,0.0,0.0
2016-01-08,775536.44,0.0,0.0
2016-01-09,748705.8300000002,1.0,0.0
2016-01-10,675374.8200000001,1.0,0.0
2016-01-11,763341.77,0.0,0.0
2016-01-12,764872.77,0.0,0.0
2016-01-13,774584.07,0.0,0.0
2016-01-14,784066.96,0.0,0.0
2016-01-15,781958.0099999999,0.0,0.0
2016-01-16,746281.42,1.0,0.0
2016-01-17,663657.2100000001,1.0,0.0
2016-01-18,780843.77,0.0,0.0
2016-01-19,809196.6799999998,0.0,0.0
2016-01-20,819194.4900000001,0.0,0.0
2016-01-21,818856.3999999998,0.0,0.0
2016-01-22,812696.47,0.0,0.0
2016-01-23,782900.57,1.0,0.0
2016-01-24,696940.47,1.0,0.0
2016-01-25,813896.1900000002,0.0,0.0
2016-01-26,838403.6699999998,0.0,0.0
2016-01-27,829632.01,0.0,0.0
2016-01-28,829661.57,0.0,0.0
2016-01-29,806796.8500000002,0.0,0.0
2016-01-30,758549.68,1.0,0.0
2016-01-31,662382.9700000001,1.0,0.0
2016-02-01,763070.55,0.0,0.0
2016-02-02,762948.0399999998,0.0,0.0
2016-02-03,758355.0900000002,0.0,0.0
2016-02-04,762177.5499999998,0.0,0.0
2016-02-05,773712.3500000002,0.0,0.0
2016-02-06,759895.2600000001,1.0,0.0
2016-02-07,678182.8799999999,1.0,0.0
2016-02-08,778011.2899999998,0.0,0.0
2016-02-09,785966.8900000001,0.0,0.0
2016-02-10,782078.3800000001,0.0,0.0
2016-02-11,788577.8499999999,0.0,0.0
2016-02-12,772396.1,0.0,0.0
2016-02-13,729007.7799999998,1.0,0.0
2016-02-14,641764.1399999999,1.0,0.0
2016-02-15,715504.7799999998,0.0,0.0
2016-02-16,714304.97,0.0,0.0
2016-02-17,712644.8200000002,0.0,0.0
2016-02-18,723173.14,0.0,0.0
2016-02-19,728366.8500000002,0.0,0.0
2016-02-20,701995.8500000001,1.0,0.0
2016-02-21,635996.8600000001,1.0,0.0
2016-02-22,727771.3299999998,0.0,0.0
2016-02-23,734325.9500000002,0.0,0.0
2016-02-24,736243.5,0.0,0.0
2016-02-25,747824.2799999998,0.0,0.0
2016-02-26,729003.4,0.0,0.0
2016-02-27,697038.01,1.0,0.0
2016-02-28,617088.64,1.0,0.0
2016-02-29,695738.3500000001,0.0,0.0
2016-03-01,699355.3900000001,0.0,0.0
2016-03-02,706343.37,0.0,0.0
2016-03-03,722919.6900000002,0.0,0.0
2016-03-04,726886.2300000002,0.0,0.0
2016-03-05,702405.26,1.0,0.0
2016-03-06,620581.72,1.0,0.0
2016-03-07,704301.3599999999,0.0,0.0
2016-03-08,711769.5400000002,0.0,0.0
2016-03-09,714081.9,0.0,0.0
2016-03-10,720961.8200000002,0.0,0.0
2016-03-11,717059.3900000001,0.0,0.0
2016-03-12,691140.75,1.0,0.0
2016-03-13,617828.6100000001,1.0,0.0
2016-03-14,729013.7899999998,0.0,0.0
2016-03-15,749531.61,0.0,0.0
2016-03-16,754584.14,0.0,0.0
2016-03-17,762313.08,0.0,0.0
2016-03-18,750070.4199999998,0.0,0.0
2016-03-19,731769.8800000001,1.0,0.0
2016-03-20,646105.62,1.0,0.0
2016-03-21,728348.88,0.0,0.0
2016-03-22,732919.6900000002,0.0,0.0
2016-03-23,728007.43,0.0,0.0
2016-03-24,726728.0899999999,0.0,0.0
2016-03-25,736984.1600000001,0.0,0.0
2016-03-26,721810.8799999999,1.0,0.0
2016-03-27,746198.3699999999,1.0,0.0
2016-03-28,750703.7,0.0,0.0
2016-03-29,746918.58,0.0,0.0
2016-03-30,737733.4000000001,0.0,0.0
2016-03-31,726478.9399999998,0.0,0.0
2016-04-01,701733.0700000001,0.0,0.0
2016-04-02,624565.4,1.0,0.0
2016-04-03,706629.88,1.0,0.0
2016-04-04,725733.8099999998,0.0,0.0
2016-04-05,724573.33,0.0,0.0
2016-04-06,728611.23,0.0,0.0
2016-04-07,725773.8600000001,0.0,0.0
2016-04-08,693750.46,0.0,0.0
2016-04-09,617176.72,1.0,0.0
2016-04-10,715793.9000000001,1.0,0.0
2016-04-11,731988.4199999998,0.0,0.0
2016-04-12,725401.7100000002,0.0,0.0
2016-04-13,729469.56,0.0,0.0
2016-04-14,727162.51,0.0,0.0
2016-04-15,705384.07,0.0,0.0
2016-04-16,630105.6400000001,1.0,0.0
2016-04-17,717333.56,1.0,0.0
2016-04-18,724223.01,0.0,0.0
2016-04-19,730890.03,0.0,0.0
2016-04-20,733979.8900000001,0.0,0.0
2016-04-21,732809.9799999999,0.0,0.0
2016-04-22,666088.2100000001,0.0,0.0
2016-04-23,614353.6300000001,1.0,0.0
2016-04-24,726414.0700000002,1.0,0.0
2016-04-25,742228.5200000001,0.0,0.0
2016-04-26,744370.0699999998,0.0,0.0
2016-04-27,753444.67,0.0,0.0
2016-04-28,753127.3700000001,0.0,0.0
2016-04-29,722228.16,0.0,0.0
2016-04-30,622769.65,1.0,0.0
2016-05-01,728730.9399999998,1.0,0.0
2016-05-02,737734.7799999998,0.0,0.0
2016-05-03,736819.2800000001,0.0,0.0
2016-05-04,741196.38,0.0,0.0
2016-05-05,738443.8699999999,0.0,0.0
2016-05-06,705650.5200000001,0.0,0.0
2016-05-07,629695.9600000001,1.0,0.0
2016-05-08,722095.9499999997,1.0,0.0
2016-05-09,743847.2200000002,0.0,0.0
2016-05-10,737360.2700000001,0.0,0.0
2016-05-11,742923.7,0.0,0.0
2016-05-12,745632.2000000002,0.0,0.0
2016-05-13,712973.69,0.0,0.0
2016-05-14,635210.83,1.0,0.0
2016-05-15,723448.2700000001,1.0,0.0
2016-05-16,742753.3799999999,0.0,0.0
2016-05-17,734539.88,0.0,0.0
2016-05-18,673586.21,0.0,0.0
2016-05-19,713950.8000000002,1.0,0.0
2016-05-20,695365.05,0.0,0.0
2016-05-21,617499.59,1.0,0.0
2016-05-22,704989.7899999998,1.0,0.0
2016-05-23,718471.21,0.0,0.0
2016-05-24,721583.19,0.0,0.0
2016-05-25,723169.84,0.0,0.0
2016-05-26,713757.1099999999,0.0,0.0
2016-05-27,687091.42,0.0,0.0
2016-05-28,612078.09,1.0,0.0
2016-05-29,703602.7100000001,1.0,0.0
2016-05-30,733330.5999999999,0.0,0.0
2016-05-31,739594.22,0.0,0.0
2016-06-01,751612.39,0.0,0.0
2016-06-02,740145.31,0.0,0.0
2016-06-03,707852.5999999999,0.0,0.0
2016-06-04,634651.56,1.0,0.0
2016-06-05,722890.3600000001,1.0,0.0
2016-06-06,724644.47,0.0,0.0
2016-06-07,730509.7399999999,0.0,0.0
2016-06-08,725737.8799999999,0.0,0.0
2016-06-09,726525.45,0.0,0.0
2016-06-10,706731.52,0.0,0.0
2016-06-11,636659.2500000001,1.0,0.0
2016-06-12,732764.7099999998,1.0,0.0
2016-06-13,744698.33,0.0,0.0
2016-06-14,755985.34,0.0,0.0
2016-06-15,771262.9100000001,0.0,0.0
