Date,Consumption,Atypical_Day,Religious Holidays,Consumption_t-1,Consumption_t-2,Consumption_t-3,Consumption_t-4,Consumption_t-5,Consumption_t-6,Consumption_t-7,Consumption_t-8,Consumption_t-9,Consumption_t-10,Consumption_t-11,Consumption_t-12,Consumption_t-13,Consumption_t-14
2016-01-16,746281.42,1.0,0.0,781958.0099999999,784066.96,774584.07,764872.77,763341.77,675374.8200000001,748705.8300000002,775536.44,780834.48,783228.2099999998,796749.9199999998,794904.7100000002,685453.0700000001,702608.5099999999
2016-01-17,663657.2100000001,1.0,0.0,746281.42,781958.0099999999,784066.96,774584.07,764872.77,763341.77,675374.8200000001,748705.8300000002,775536.44,780834.48,783228.2099999998,796749.9199999998,794904.7100000002,685453.0700000001
2016-01-18,780843.77,0.0,0.0,663657.2100000001,746281.42,781958.0099999999,784066.96,774584.07,764872.77,763341.77,675374.8200000001,748705.8300000002,775536.44,780834.48,783228.2099999998,796749.9199999998,794904.7100000002
2016-01-19,809196.6799999998,0.0,0.0,780843.77,663657.2100000001,746281.42,781958.0099999999,784066.96,774584.07,764872.77,763341.77,675374.8200000001,748705.8300000002,775536.44,780834.48,783228.2099999998,796749.9199999998
2016-01-20,819194.4900000001,0.0,0.0,809196.6799999998,780843.77,663657.2100000001,746281.42,781958.0099999999,784066.96,774584.07,764872.77,763341.77,675374.8200000001,748705.8300000002,775536.44,780834.48,783228.2099999998
2016-01-21,818856.3999999998,0.0,0.0,819194.4900000001,809196.6799999998,780843.77,663657.2100000001,746281.42,781958.0099999999,784066.96,774584.07,764872.77,763341.77,675374.8200000001,748705.8300000002,775536.44,780834.48
2016-01-22,812696.47,0.0,0.0,818856.3999999998,819194.4900000001,809196.6799999998,780843.77,663657.2100000001,746281.42,781958.0099999999,784066.96,774584.07,764872.77,763341.77,675374.8200000001,748705.8300000002,775536.44
2016-01-23,782900.57,1.0,0.0,812696.47,818856.3999999998,819194.4900000001,809196.6799999998,780843.77,663657.2100000001,746281.42,781958.0099999999,784066.96,774584.07,764872.77,763341.77,675374.8200000001,748705.8300000002
2016-01-24,696940.47,1.0,0.0,782900.57,812696.47,818856.3999999998,819194.4900000001,809196.6799999998,780843.77,663657.2100000001,746281.42,781958.0099999999,784066.96,774584.07,764872.77,763341.77,675374.8200000001
2016-01-25,813896.1900000002,0.0,0.0,696940.47,782900.57,812696.47,818856.3999999998,819194.4900000001,809196.6799999998,780843.77,663657.2100000001,746281.42,781958.0099999999,784066.96,774584.07,764872.77,763341.77
2016-01-26,838403.6699999998,0.0,0.0,813896.1900000002,696940.47,782900.57,812696.47,818856.3999999998,819194.4900000001,809196.6799999998,780843.77,663657.2100000001,746281.42,781958.0099999999,784066.96,774584.07,764872.77
2016-01-27,829632.01,0.0,0.0,838403.6699999998,813896.1900000002,696940.47,782900.57,812696.47,818856.3999999998,819194.4900000001,809196.6799999998,780843.77,663657.2100000001,746281.42,781958.0099999999,784066.96,774584.07
2016-01-28,829661.57,0.0,0.0,829632.01,838403.6699999998,813896.1900000002,696940.47,782900.57,812696.47,818856.3999999998,819194.4900000001,809196.6799999998,780843.77,663657.2100000001,746281.42,781958.0099999999,784066.96
2016-01-29,806796.8500000002,0.0,0.0,829661.57,829632.01,838403.6699999998,813896.1900000002,696940.47,782900.57,812696.47,818856.3999999998,819194.4900000001,809196.6799999998,780843.77,663657.2100000001,746281.42,781958.0099999999
2016-01-30,758549.68,1.0,0.0,806796.8500000002,829661.57,829632.01,838403.6699999998,813896.1900000002,696940.47,782900.57,812696.47,818856.3999999998,819194.4900000001,809196.6799999998,780843.77,663657.2100000001,746281.42
2016-01-31,662382.9700000001,1.0,0.0,758549.68,806796.8500000002,829661.57,829632.01,838403.6699999998,813896.1900000002,696940.47,782900.57,812696.47,818856.3999999998,819194.4900000001,809196.6799999998,780843.77,663657.2100000001
